# HSK COORS  :  [0.0, 0.23401070363498697, 0.36911684621020824, 0.6393291316493259]
# HSK SYMBOL :  ['Γ', 'M', 'K', 'Γ']
# PROJ ATOMS :  [1]


# K-coors        Spin-up(eV)       dxy         dz2       Spin-up(eV)     dxy       dz2    
  0.34455210    -13.13768100    0.000000    0.000000    -13.13768100    0.000000    0.000000  
  0.34591681    -13.10976800    0.000000    0.000000    -13.10976800    0.000000    0.000000  
  0.34728152    -13.08151800    0.000000    0.000000    -13.08151800    0.000000    0.000000  
  0.34864623    -13.05293200    0.000000    0.000000    -13.05293200    0.000000    0.000000  
  0.35001093    -13.02401000    0.000000    0.000000    -13.02401000    0.000000    0.000000  
  0.35137564    -12.99475100    0.000000    0.000000    -12.99475100    0.000000    0.000000  
  0.35274035    -12.96515700    0.000000    0.000000    -12.96515700    0.000000    0.000000  
  0.35410505    -12.93522700    0.000000    0.000000    -12.93522700    0.000000    0.000000  
  0.35546976    -12.90496200    0.000000    0.000000    -12.90496100    0.000000    0.000000  
  0.35683447    -12.87436200    0.000000    0.000000    -12.87436200    0.000000    0.000000  
  0.35819918    -12.84342700    0.000000    0.000000    -12.84342700    0.000000    0.000000  
  0.35956388    -12.81215800    0.000000    0.000000    -12.81215800    0.000000    0.000000  
  0.36092859    -12.78055600    0.000000    0.000000    -12.78055600    0.000000    0.000000  
  0.36229330    -12.74862000    0.000000    0.000000    -12.74862000    0.000000    0.000000  
  0.36365800    -12.71635000    0.000000    0.000000    -12.71635000    0.000000    0.000000  
  0.36502271    -12.68374800    0.000000    0.000000    -12.68374800    0.000000    0.000000  
  0.36638742    -12.65081300    0.000000    0.000000    -12.65081300    0.000000    0.000000  
  0.36775213    -12.61754600    0.000000    0.000000    -12.61754600    0.000000    0.000000  
  0.36911683    -12.58397100    0.000000    0.000000    -12.58397100    0.000000    0.000000  
  0.36911687    -12.58397100    0.000000    0.000000    -12.58397100    0.000000    0.000000  
  0.37184629    -12.65582200    0.000000    0.000000    -12.65582200    0.000000    0.000000  
  0.37457570    -12.73573700    0.000000    0.000000    -12.73573700    0.000000    0.000000  
  0.37730512    -12.82263700    0.000000    0.000000    -12.82263600    0.000000    0.000000  
  0.38003453    -12.91548100    0.000000    0.000000    -12.91548100    0.000000    0.000000  
